Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,941721,11,340.0,648.4177582064228,3.05904820561409,68765.07886126637,1039.9878520283607,3138.2136754342237,0.0366566641603792,340,750,810,880,1400,1900,2700,3400,6600,21000,69000
,Aggregated,941721,11,340.0,648.4177582064228,3.05904820561409,68765.07886126637,1039.9878520283607,3138.2136754342237,0.0366566641603792,340,750,810,880,1400,1900,2700,3400,6600,21000,69000
