Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,358850,0,11,12.32638633614428,4.218697547912598,1020.5773040652275,445.0,1196.120894736288,0.0,11,12,13,13,14,16,27,42,91,150,1000
,Aggregated,358850,0,11,12.32638633614428,4.218697547912598,1020.5773040652275,445.0,1196.120894736288,0.0,11,12,13,13,14,16,27,42,91,150,1000
