Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1249108,0,6,11.17317403126334,2.1606069058179855,1119.2889474332333,1063.0,4162.763591133278,0.0,6,7,8,8,16,38,65,93,370,650,1100
,Aggregated,1249108,0,6,11.17317403126334,2.1606069058179855,1119.2889474332333,1063.0,4162.763591133278,0.0,6,7,8,8,16,38,65,93,370,650,1100
