Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,357126,0,11,16.18321524112673,4.219351336359978,2095.146242529154,538.0,1190.365866023738,0.0,11,12,13,13,15,17,39,60,1100,1100,2100
,Aggregated,357126,0,11,16.18321524112673,4.219351336359978,2095.146242529154,538.0,1190.365866023738,0.0,11,12,13,13,15,17,39,60,1100,1100,2100
